boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
181,350,Python Sprint 12,8,18,4,4,0,0,2,2,1,1,0,0,1,1,1,1
181,369,Python Sprint 13,-3,18,7,7,0,0,1,1,5,5,0,0,1,1,1,1
181,381,Python Sprint 14,-1,18,6,6,2,2,3,3,2,2,0,0,3,3,1,1
181,394,Python Sprint 16,3,18,6,6,24,24,8,8,4,4,6,6,12,12,1,3
181,416,Python Sprint 17,5,18,5,5,6,6,2,2,9,9,0,0,0,0,1,4
181,435,Docs Sprint 17 - Ending 4/3,0,19,0,0,1,1,1,1,0,0,0,0,0,0,1,1
181,493,Python Sprint 18,5,18,0,0,9,9,0,0,1,1,1,1,7,7,1,1
181,517,Python Sprint 19,3,18,0,0,9,9,1,1,1,1,2,2,5,5,1,2
181,544,Python Sprint 20,-1,18,7,7,4,4,4,4,1,1,1,1,5,5,1,1
181,580,Python Sprint 21,1,18,11,11,10,10,4,4,17,17,0,0,0,0,1,2
181,609,Python Sprint 22,3,18,0,0,17,17,8,8,0,0,6,6,3,3,1,3
181,631,Python Sprint 23,-4,18,9,9,1,1,0,0,4,4,3,3,3,3,1,3
187,156,Safety Dance,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
187,166,Stray Cat Strut,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
187,171,Straight Up,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1
187,196,Another Day in Paradise,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
187,215,Just Like Starting Over,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
187,270,"Let's Go Crazy" (08/29),0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
187,301,Every Breath You Take (10/20),0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1
187,319,Gonna Fly Now (Ends 10/31),0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1
187,390,Drupal Ending 2/28,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
192,31,Sprint 1,-3,37,3,3,2,2,0,0,3,3,0,0,2,2,1,4
192,103,Sprint 2,0,14,5,5,0,0,0,0,4,4,0,0,1,1,1,3
192,139,Sprint 1 - April 14 - May 2,-5,18,6,6,2,2,0,0,8,8,0,0,0,0,1,4
192,140,Sprint 2 - May 5 - May 23,0,18,3,3,0,0,0,0,3,3,0,0,0,0,1,1
192,181,Sprint 3 - May 25 - June 13,0,17,8,8,2,2,0,0,5,5,4,4,1,1,1,4
192,197,Sprint 4 - June 16 - July 4,-3,18,3,3,4,4,3,3,0,0,3,3,1,1,1,5
192,207,Sprint 5 - July 7-25,0,14,5,5,1,1,6,6,0,0,0,0,0,0,1,5
192,208,Ruby Sprint 6,-5,18,2,2,4,4,1,1,5,5,0,0,0,0,1,5
192,275,Ruby Sprint 7,-3,17,6,6,3,3,0,0,7,7,0,0,2,2,1,5
192,285,Ruby Sprint 8,0,18,4,4,4,4,0,0,3,3,1,1,4,4,1,5
192,300,Ruby Sprint 9,-4,18,11,11,0,0,2,2,7,7,2,2,0,0,1,2
192,327,Ruby Sprint 11,16,18,0,0,11,11,1,1,8,8,2,2,0,0,1,2
192,392,Ruby Sprint 15,5,21,12,12,3,3,0,0,13,13,0,0,2,2,1,2
192,417,Ruby Sprint 16,0,14,8,8,4,4,0,0,7,7,1,1,4,4,1,3
192,492,Ruby Sprint 18,0,17,3,3,0,0,3,3,0,0,0,0,0,0,1,2
192,514,Ruby Sprint 19,-1,18,0,0,8,8,6,6,2,2,0,0,0,0,1,2
192,584,Ruby Sprint 21,7,18,0,0,20,20,1,1,15,15,2,2,2,2,1,1
192,619,Ruby Sprint 22,1,14,5,5,4,4,5,5,4,4,0,0,0,0,1,2
193,155,Sprint 1 - April 14 - May 2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
193,522,Java Sprint 20,-1,17,0,0,8,8,1,1,1,1,2,2,4,4,1,1
193,552,Java Sprint 20,-1,18,0,0,4,4,0,0,0,0,1,1,3,3,1,1
193,586,Java Sprint 21,2,18,0,0,3,3,1,1,0,0,2,2,0,0,1,1
193,587,Java Sprint 23,-3,18,0,0,3,3,0,0,3,3,0,0,0,0,1,1
228,60,Sprint 1,2,30,36,36,9,9,0,0,26,26,2,2,17,17,1,6
228,61,Sprint 2,2,14,4,4,1,1,0,0,2,2,0,0,3,3,1,2
228,62,Sprint 3,0,11,12,12,1,1,1,1,11,11,0,0,1,1,1,3
