idissuelink,issuekey,linkedIssueKey,name
304,CONF-31283,TEAMCAL-2711,relates to
305,CONF-31284,JRA-40081,relates to
306,CONF-31333,CONF-3613,duplicates
307,CONF-31333,CONF-3613,is related to
308,CONF-31338,CWD-3696,relates to
309,CONF-31338,JRA-36555,relates to
310,CONF-31474,CONF-31566,is duplicated by
311,CONF-31474,CONF-32408,is related to
312,CONF-31518,CONF-32367,is duplicated by
313,CONF-31518,CONF-32928,is duplicated by
314,CONF-31534,GHS-10115,is blocked by
315,CONF-31534,CONF-33651,relates to
316,CONF-31534,CONF-32317,is related to
317,CONF-31585,CONF-25394,is related to
318,CONF-31588,CONF-31931,has a derivative of
319,CONF-31588,CONF-31586,is related to
320,CONF-31588,CONF-31021,is related to
321,CONF-31675,CONF-13798,is caused by
322,CONF-31707,CONF-32035,Testing discovered
323,CONF-31744,CONF-31637,is caused by
324,CONF-31836,CONF-23353,is related to
325,CONF-31931,CONF-31588,derived from
326,CONF-31934,CONF-31870,duplicates
327,CONF-31994,CONF-30380,was split from
328,CONF-32105,CONF-32342,is duplicated by
329,CONF-32105,CONF-32095,relates to
330,CONF-32187,CONF-22283,relates to
331,CONF-32234,CONF-32226,duplicates
332,CONF-32234,CONF-32437,is duplicated by
333,CONF-32234,CONF-32748,is duplicated by
334,CONF-32234,CONF-32843,is related to
335,CONF-32523,GHS-10588,relates to
336,CONF-32525,CONF-34406,relates to
337,CONF-32525,CONF-32068,is related to
338,CONF-32525,CONF-35655,is related to
339,CONF-32525,CONF-36547,is related to
340,CONF-32525,CONF-30430,is related to
341,CONF-32697,CONF-33310,relates to
342,CONF-32697,CONF-37402,has a regression in
343,CONF-32768,CONF-31463,relates to
344,CONF-32814,CONF-32792,incorporates
345,CONF-32861,CONF-30822,is a regression of
346,CONF-33179,CONF-33197,is blocked by
347,CONF-33179,CONF-33197,is duplicated by
348,CONF-33557,CONF-33774,is incorporated by
349,CONF-33830,CONF-33938,has a derivative of
350,CONF-33889,CONF-34161,duplicates
351,CONF-33922,CONF-24091,is duplicated by
352,CONF-33922,CONF-34186,is duplicated by
353,CONF-33922,CONF-34333,is duplicated by
354,CONF-33922,CONF-34417,is duplicated by
355,CONF-33922,CONF-36861,is related to
356,CONF-33997,CONF-34116,incorporates
