idissuelink,issuekey,linkedIssueKey,name
314,DATAJPA-12,DATACMNS-402,relates to
315,DATAJPA-12,DATAJPA-8,is related to
316,DATAJPA-170,DATAJPA-368,is related to
317,DATAJPA-173,DATAJPA-507,relates to
318,DATAJPA-265,DATACMNS-389,depends on
319,DATAJPA-265,DATAJPA-384,is related to
320,DATAJPA-307,DATAMONGO-1151,relates to
321,DATAJPA-307,DATACMNS-293,is related to
322,DATAJPA-346,DATAJPA-277,is related to
323,DATAJPA-368,DATAJPA-170,relates to
324,DATAJPA-393,DATACMNS-383,relates to
325,DATAJPA-396,DATAJPA-397,is duplicated by
326,DATAJPA-398,DATACMNS-364,relates to
327,DATAJPA-405,DATACMNS-387,depends on
328,DATAJPA-415,DATAJPA-429,is duplicated by
329,DATAJPA-415,DATAJPA-461,relates to
330,DATAJPA-416,DATACMNS-90,depends on
331,DATAJPA-417,DATAJPA-433,relates to
332,DATAJPA-419,DATACMNS-392,depends on
333,DATAJPA-427,DATAJPA-491,relates to
334,DATAJPA-433,DATAJPA-492,is related to
335,DATAJPA-433,DATAJPA-417,is related to
336,DATAJPA-438,DATAJPA-439,relates to
337,DATAJPA-445,DATAJPA-453,relates to
338,DATAJPA-445,SPR-10443,relates to
339,DATAJPA-451,DATACMNS-433,is related to
340,DATAJPA-452,DATAJPA-456,is superseded by
341,DATAJPA-453,DATAJPA-445,is related to
342,DATAJPA-454,DATAJPA-476,relates to
343,DATAJPA-455,DATAJPA-479,is depended on by
344,DATAJPA-456,DATAJPA-452,supersedes
345,DATAJPA-460,DATACMNS-448,is related to
346,DATAJPA-461,DATAJPA-415,is related to
347,DATAJPA-465,DATACMNS-441,is related to
348,DATAJPA-466,DATAJPA-208,relates to
349,DATAJPA-466,DATAJPA-560,is related to
350,DATAJPA-476,DATAJPA-491,relates to
351,DATAJPA-476,DATAJPA-454,is related to
352,DATAJPA-478,DATACMNS-138,is related to
353,DATAJPA-478,DATAJPA-501,is superseded by
354,DATAJPA-479,DATAJPA-455,depends on
355,DATAJPA-486,DATACMNS-397,depends on
356,DATAJPA-486,DATAJPA-306,relates to
357,DATAJPA-489,DATACMNS-464,depends on
358,DATAJPA-491,DATAJPA-427,is related to
359,DATAJPA-491,DATAJPA-476,is related to
360,DATAJPA-492,DATAJPA-433,relates to
361,DATAJPA-494,DATAJPA-482,relates to
362,DATAJPA-498,DATACMNS-464,depends on
363,DATAJPA-498,DATAREST-265,is related to
364,DATAJPA-499,DATAJPA-518,relates to
365,DATAJPA-499,DATACMNS-491,is related to
366,DATAJPA-501,DATAJPA-478,supersedes
367,DATAJPA-505,DATAJPA-506,is related to
368,DATAJPA-506,DATAJPA-505,relates to
369,DATAJPA-507,DATAJPA-173,is related to
370,DATAJPA-512,DATAJPA-513,duplicates
371,DATAJPA-513,DATAJPA-512,is duplicated by
372,DATAJPA-518,DATAJPA-499,is related to
373,DATAJPA-523,DATAJPA-525,is related to
374,DATAJPA-525,DATAJPA-523,relates to
375,DATAJPA-546,DATACMNS-631,depends on
376,DATAJPA-546,DATACMNS-497,relates to
377,DATAJPA-551,DATACMNS-516,depends on
378,DATAJPA-551,DATAJPA-82,relates to
379,DATAJPA-558,DATACMNS-511,is related to
380,DATAJPA-562,DATAJPA-565,is related to
381,DATAJPA-562,DATAJPA-564,is related to
382,DATAJPA-564,SEC-2676,is depended on by
383,DATAJPA-564,DATAJPA-562,relates to
384,DATAJPA-564,DATAMONGO-990,relates to
385,DATAJPA-564,DATAMONGO-1151,relates to
386,DATAJPA-564,DATAJPA-565,is related to
387,DATAJPA-567,DATAJPA-568,duplicates
388,DATAJPA-568,DATAJPA-567,is duplicated by
389,DATAJPA-575,DATACMNS-469,is related to
390,DATAJPA-576,DATAJPA-592,relates to
391,DATAJPA-579,DATACMNS-551,depends on
392,DATAJPA-579,DATACMNS-526,is related to
393,DATAJPA-581,DATAJPA-590,is duplicated by
394,DATAJPA-581,DATAJPA-597,is duplicated by
395,DATAJPA-582,DATAJPA-590,is duplicated by
396,DATAJPA-592,DATACMNS-411,is related to
397,DATAJPA-592,DATACMNS-365,is related to
398,DATAJPA-592,DATAJPA-576,is related to
399,DATAJPA-596,DATACMNS-566,relates to
400,DATAJPA-612,DATAJPA-689,relates to
401,DATAJPA-617,DATAJPA-724,relates to
402,DATAJPA-617,DATAJPA-350,is related to
403,DATAJPA-628,DATAJPA-629,relates to
404,DATAJPA-629,DATAJPA-628,is related to
405,DATAJPA-630,DATAREST-416,relates to
406,DATAJPA-630,DATACMNS-599,is related to
407,DATAJPA-631,DATACMNS-591,is related to
408,DATAJPA-635,DATACMNS-587,depends on
409,DATAJPA-655,DATACMNS-628,depends on
410,DATAJPA-658,DATAREST-124,is duplicated by
411,DATAJPA-665,DATACMNS-636,is related to
412,DATAJPA-677,DATACMNS-650,relates to
413,DATAJPA-679,DATACMNS-554,relates to
414,DATAJPA-685,DATACMNS-656,depends on
415,DATAJPA-685,DATAJPA-183,supersedes
416,DATAJPA-685,DATAJPA-313,supersedes
417,DATAJPA-689,DATAJPA-612,is related to
418,DATAJPA-696,DATAJPA-560,is related to
419,DATAJPA-701,DATACMNS-676,is related to
420,DATAJPA-710,DATAJPA-674,relates to
421,DATAJPA-710,DATACMNS-542,is related to
422,DATAJPA-714,DATACMNS-687,is related to
423,DATAJPA-716,DATAREST-531,relates to
424,DATAJPA-716,DATAREST-530,relates to
425,DATAJPA-728,DATACMNS-713,relates to
426,DATAJPA-758,DATACMNS-731,relates to
427,DATAKV-104,DATAKV-91,is related to
428,DATAKV-87,DATAKV-93,is depended on by
429,DATAKV-90,DATACMNS-587,is related to
430,DATAKV-91,DATAKV-104,relates to
431,DATAKV-93,DATAKV-87,depends on
432,DATAKV-96,DATACMNS-554,is related to
433,DATAMONGO-1002,DATAMONGO-953,is related to
434,DATAMONGO-1005,DATAMONGO-998,relates to
435,DATAMONGO-1008,DATAMONGO-1011,relates to
436,DATAMONGO-1009,DATACMNS-526,is related to
437,DATAMONGO-1017,DATACMNS-557,depends on
438,DATAMONGO-1025,DATAMONGO-1027,is duplicated by
439,DATAMONGO-1027,DATAMONGO-1025,duplicates
440,DATAMONGO-1038,DATAMONGO-1039,relates to
441,DATAMONGO-1039,DATAMONGO-1038,is related to
442,DATAMONGO-1049,DATAMONGO-1053,is depended on by
443,DATAMONGO-1053,DATAMONGO-1049,depends on
444,DATAMONGO-1064,DATAMONGO-1115,relates to
445,DATAMONGO-1072,DATAMONGO-420,relates to
446,DATAMONGO-1075,DATACMNS-581,relates to
447,DATAMONGO-1078,DATAMONGO-1088,is duplicated by
448,DATAMONGO-1080,DATAMONGO-1120,relates to
