issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
MULE-4880,0,"2010-05-13 00:00:00",Bug,0,0,8,9,Major,0,1,1,0,1,0,0,1,0.49385245901639346,0,0,57,10,10,196,300,386
MULE-4881,0,"2010-05-18 00:00:00",Bug,0,0,0,4,Major,4,1,2,1,0,0,0,1,0.75,0,0,52,8,100,199,222,386
MULE-4883,0,"2010-05-19 00:00:00",Improvement,15,0,9,10,Minor,6,1,1,2,2,0,0,1,0.5224913494809689,0,45,6,10,83,136,220,244
MULE-4885,0,"2010-05-25 00:00:00",Bug,3,0,8,10,Major,1,1,1,1,0,0,0,1,0.49387755102040815,0,8,37,7,93,38,61,355
MULE-4890,0,"2010-05-28 00:00:00",Bug,33,1,17,17,Major,1,1,1,1,3,0,0,0,0.49490835030549896,0,98,11,8,54,138,289,246
MULE-4892,0,"2010-06-02 00:00:00",Bug,0,0,8,9,Major,0,1,1,1,2,0,0,1,0.49390243902439024,0,0,37,3,95,38,168,355
MULE-4895,0,"2010-06-03 00:00:00",Task,0,0,8,9,Minor,0,1,1,1,2,0,0,0,0.4949290060851927,0,0,103,9,95,38,61,355
MULE-4899,0,"2010-06-04 00:00:00",Bug,7,0,37,5,Critical,9,1,2,2,1,0,0,1,0.5206896551724138,0,19,16,8,50,34,292,70
MULE-4900,0,"2010-06-04 00:00:00",Bug,31,0,17,18,Major,4,1,1,2,0,0,0,1,0.5206896551724138,0,91,11,9,77,54,228,210
MULE-4902,13,"2010-06-08 00:00:00",Bug,0,0,17,22,Major,0,1,1,1,0,0,0,1,0.4959514170040486,0,0,72,10,84,150,273,245
MULE-4904,0,"2010-06-09 00:00:00",Bug,30,0,17,19,Major,3,1,1,3,0,0,0,1,0.5205479452054794,0,89,8,9,65,84,248,340
MULE-4905,0,"2010-06-11 00:00:00",Bug,0,0,9,17,Major,0,1,1,1,0,0,0,1,0.746031746031746,0,141,73,10,57,25,41,136
MULE-4907,0,"2010-06-14 00:00:00",Bug,36,1,17,20,Critical,2,1,1,1,0,0,0,1,0.5221843003412969,0,108,43,9,14,194,274,399
MULE-4908,12,"2010-06-17 00:00:00",Bug,0,0,33,6,Major,0,0,2,0,0,0,0,1,0,0,0,62,8,54,36,77,25
MULE-4909,0,"2010-06-17 00:00:00",Task,0,0,33,6,Minor,1,1,3,1,1,0,0,0,0.494949494949495,0,271,2,3,99,115,210,387
MULE-4911,0,"2010-06-18 00:00:00",Bug,0,0,8,18,Minor,2,1,1,0,0,0,0,1,0,0,101,46,10,85,183,263,379
MULE-4912,0,"2010-06-18 00:00:00",Bug,0,0,8,18,Major,2,0,1,0,0,0,0,1,0,0,109,98,6,85,18,44,393
MULE-4913,0,"2010-06-18 00:00:00",Bug,140,0,40,5,Major,3,1,2,2,0,0,0,2,0,0,418,33,9,63,129,131,255
MULE-4914,0,"2010-06-19 00:00:00",Task,1,0,8,20,Blocker,3,1,1,2,0,0,0,1,0.7447183098591549,0,3,17,8,96,194,225,384
MULE-4915,14,"2010-06-21 00:00:00",Bug,0,0,79,11,Major,0,1,1,1,0,0,0,1,0.5968253968253968,0,0,59,7,98,181,171,365
MULE-4916,0,"2010-06-21 00:00:00",Improvement,0,0,10,3,Major,0,1,2,1,0,0,0,1,0.4507042253521127,0,109,230,3,64,196,230,398
RESTX-2,0,"2010-06-25 00:00:00",NewFeature,11,0,0,0,"To be reviewed",0,2,1,1,0,0,0,0,0,0,33,2,6,55,147,280,368
RESTX-3,0,"2010-06-25 00:00:00",NewFeature,18,0,0,0,"To be reviewed",0,2,1,1,0,0,0,0,0,0,53,14,3,19,122,188,271
RESTX-4,0,"2010-06-25 00:00:00",NewFeature,12,0,0,0,"To be reviewed",0,0,1,1,0,0,0,0,0,0,34,1,5,25,130,126,257
RESTX-5,0,"2010-06-25 00:00:00",Improvement,29,0,0,0,"To be reviewed",1,0,1,2,0,0,0,0,0,0,87,17,3,19,122,188,271
MULE-4920,0,"2010-06-26 00:00:00",Improvement,1,0,14,4,Major,2,1,1,1,0,0,0,3,0.75,0,2,51,9,93,127,208,320
