issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
JRA-11950,0,"2007-01-17 00:00:00",Bug,0,0,0,1,Major,3,0,1,0,1,0,0,1,0,0,0,15,9,60,189,145,104
CWD-136,5,"2007-01-17 00:00:00",Bug,0,0,0,0,Major,0,0,1,1,1,0,0,2,0,1,7,21,2,34,75,2,362
CWD-135,0,"2007-01-17 00:00:00",NewFeature,0,1,66,4,Major,0,0,1,1,1,0,0,0,0,0,0,314,9,38,93,259,341
JRA-11963,0,"2007-01-18 00:00:00",Bug,0,0,0,0,Major,1,0,1,2,1,0,0,1,0,0,10,4,1,50,117,160,345
JRA-11976,20,"2007-01-19 00:00:00",Suggestion,0,0,0,0,NULL,0,0,1,0,0,0,0,1,0,0,0,1860,10,99,168,245,362
JRA-11974,0,"2007-01-19 00:00:00",Bug,0,0,0,2,Trivial,0,0,1,1,0,0,0,3,0,0,2,11,5,78,159,273,301
JRA-11973,0,"2007-01-19 00:00:00",Bug,0,0,0,0,Major,1,0,1,0,2,0,0,2,0.2,0,0,13,9,91,193,214,263
JRA-11988,0,"2007-01-22 00:00:00",Bug,1,0,0,4,Minor,1,0,1,1,0,0,0,0,0,0,1,49,2,77,177,295,335
JRA-11999,0,"2007-01-23 00:00:00",Suggestion,0,0,0,2,NULL,1,0,1,1,2,0,0,0,0,0,0,9,8,99,71,292,380
JRA-11994,0,"2007-01-23 00:00:00",Bug,0,0,0,2,Major,0,0,1,1,1,0,0,1,0.5,0,0,30,10,43,46,233,384
JRA-11992,0,"2007-01-23 00:00:00",Bug,0,0,0,4,Major,0,0,1,0,0,0,0,1,0,0,0,9,7,76,120,256,372
JRA-12013,0,"2007-01-24 00:00:00",SubTask,1,0,0,2,Major,0,0,1,1,0,0,0,0,0,1,1,47,4,45,187,253,178
CWD-140,167,"2007-01-24 00:00:00",Improvement,0,1,30,9,Major,0,0,1,1,1,0,0,0,0,0,8,747,10,100,189,237,62
JRA-12018,0,"2007-01-25 00:00:00",Bug,0,0,0,5,Minor,2,0,1,1,0,0,0,1,0,0,3,25,4,78,181,168,301
JRA-12017,0,"2007-01-25 00:00:00",Suggestion,115,0,10,9,NULL,1,0,1,1,2,0,0,1,0,0,344,210,2,66,193,272,356
JRA-12015,0,"2007-01-25 00:00:00",Bug,0,0,0,7,Major,2,0,1,1,1,0,0,1,0,1,5,23,8,83,130,208,147
JRA-12014,0,"2007-01-25 00:00:00",Bug,0,0,0,6,Major,3,0,1,1,3,0,0,1,0,0,6,22,9,76,24,228,228
CWD-142,0,"2007-01-25 00:00:00",Improvement,0,0,0,0,Major,0,0,1,0,1,0,0,0,0.2,0,0,6,9,71,198,123,361
CWD-141,0,"2007-01-25 00:00:00",Improvement,0,0,0,0,Major,0,0,1,0,4,0,0,0,0.2,1,0,6,8,99,186,54,395
JRA-12036,0,"2007-01-29 00:00:00",Bug,1,0,0,7,Critical,1,0,1,1,0,0,0,1,0,0,1,23,10,12,23,181,376
JRA-12034,0,"2007-01-29 00:00:00",Suggestion,0,0,0,0,NULL,2,0,1,1,0,0,0,1,0,0,58,41,2,10,197,226,396
CWD-144,0,"2007-01-29 00:00:00",Improvement,0,0,27,17,Major,0,0,1,1,1,0,0,1,0.14285714285714285,0,27,115,2,83,150,294,362
JRA-12039,0,"2007-01-30 00:00:00",Bug,0,0,0,7,Major,2,0,1,1,2,0,0,0,0,0,0,42,9,84,100,232,345
JRA-12050,0,"2007-01-31 00:00:00",Bug,10,0,0,0,Major,1,0,1,1,0,0,0,1,0.5,1,29,12,3,59,37,31,396
JRA-12049,0,"2007-01-31 00:00:00",Bug,0,0,0,2,Critical,0,0,1,0,0,0,0,1,0.3333333333333333,0,0,22,4,83,136,262,334
JRA-12042,0,"2007-01-31 00:00:00",Bug,0,0,0,1,Minor,1,0,1,1,0,0,0,1,0,0,0,312,10,29,183,267,22
JRA-12041,0,"2007-01-31 00:00:00",Bug,0,0,0,6,Trivial,2,0,1,1,1,0,0,1,0.1111111111111111,0,0,22,7,76,120,253,399
CWD-149,0,"2007-01-31 00:00:00",Bug,0,0,0,4,Major,1,0,1,1,0,0,0,1,0,0,89,308,6,88,162,298,377
CWD-148,0,"2007-01-31 00:00:00",Bug,0,0,0,0,Trivial,0,0,1,1,0,0,0,1,0,0,0,8,8,67,185,287,181
CWD-147,0,"2007-01-31 00:00:00",SubTask,0,0,12,15,Blocker,7,0,1,1,3,0,0,1,0,0,707,204,5,96,149,296,19
JRA-12056,488,"2007-02-01 00:00:00",Suggestion,0,0,0,0,NULL,1,0,1,0,3,0,0,1,0,0,0,2162,6,24,14,157,211
JRA-12052,0,"2007-02-01 00:00:00",Suggestion,0,0,0,3,NULL,0,1,1,0,0,0,0,0,0,0,0,21,2,99,75,294,337
JRA-12066,0,"2007-02-02 00:00:00",Bug,0,0,0,5,Critical,3,0,1,1,1,0,0,1,0,0,3,17,3,96,110,176,325
JRA-12061,0,"2007-02-02 00:00:00",Bug,1,0,33,3,Major,0,1,1,1,0,0,0,1,0.5,2,3,17,10,93,158,254,335
JRA-12060,0,"2007-02-02 00:00:00",Bug,0,0,0,3,Major,0,0,1,0,1,0,0,1,0.4,0,0,20,7,15,59,114,372
CWD-150,0,"2007-02-02 00:00:00",Bug,8,1,0,0,Major,2,0,1,1,1,0,0,1,0,0,23,8,4,67,185,287,286
