issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
FCREPO-377,3,"2008-10-23 00:00:00",Story,0,0,10,7,Minor,0,0,1,0,1,0,0,0,0.5135135135135135,0,0,1,8,97,167,164,382
FCREPO-376,0,"2008-10-24 00:00:00",Bug,0,0,16,10,Critical,2,1,1,1,0,0,0,2,0.5277777777777778,0,174,22,10,92,192,123,287
FCREPO-379,0,"2008-10-27 00:00:00",Bug,0,0,50,3,Major,1,0,1,2,0,0,0,1,0.5135135135135135,0,98,95,9,93,171,297,110
FCREPO-380,0,"2008-10-28 00:00:00",Story,95,1,23,11,Blocker,1,1,1,2,0,0,0,0,0.475,1,95,97,5,89,166,282,313
FCREPO-381,0,"2008-10-30 00:00:00",Bug,112,0,16,4,Major,2,0,1,2,0,0,0,2,0.8611111111111112,0,112,78,8,93,171,297,374
FCREPO-383,0,"2008-11-24 00:00:00",Bug,0,0,0,0,Minor,0,0,1,1,0,0,0,2,0.47619047619047616,0,22,153,9,22,91,271,391
FCREPO-386,33,"2008-12-02 00:00:00",Bug,0,2,15,5,Trivial,0,0,1,0,1,0,0,1,0.1509433962264151,1,0,157,8,52,14,297,1
FCREPO-389,0,"2008-12-10 00:00:00",Bug,0,0,22,9,Trivial,0,0,1,0,1,0,0,9,0.4444444444444444,0,0,149,10,82,174,64,212
FCREPO-387,0,"2008-12-10 00:00:00",Bug,0,0,22,9,Major,1,0,1,0,1,0,0,9,0.4444444444444444,0,0,149,8,83,193,263,376
FCREPO-390,0,"2008-12-19 00:00:00",Bug,0,0,7,0,Critical,1,0,1,0,0,0,0,1,0.7777777777777778,0,0,140,8,61,133,299,234
FCREPO-391,0,"2009-01-05 00:00:00",Story,57,0,7,0,Minor,0,0,1,1,4,1,0,0,0.7857142857142857,0,57,66,8,61,133,299,175
ISLANDORA-4,2,"2009-01-10 00:00:00",SubTask,0,0,0,0,Major,0,0,0,0,1,0,0,0,0,0,0,11,10,43,173,73,5
FCREPO-410,0,"2009-01-13 00:00:00",Bug,36,0,6,1,Major,0,0,1,1,1,0,0,2,0,0,107,8,8,61,133,20,175
FCREPO-393,0,"2009-01-14 00:00:00",Bug,12,0,20,12,Major,1,0,1,0,0,0,0,1,0.4791666666666667,0,12,102,6,70,85,288,274
ISLANDORA-10,0,"2009-01-23 00:00:00",Improvement,1,0,100,2,Minor,0,0,0,0,0,0,0,0,0,0,3,1,6,93,106,157,374
ISLANDORA-9,0,"2009-01-23 00:00:00",NewFeature,1,0,100,2,Major,0,0,0,0,0,0,0,0,0,0,3,2,10,54,79,205,317
FCREPO-395,0,"2009-01-27 00:00:00",Bug,0,0,0,0,Blocker,0,1,1,1,0,0,0,1,0.4897959183673469,0,91,10,6,95,63,256,393
FCREPO-394,186,"2009-01-27 00:00:00",Story,0,1,44,1,Major,0,0,1,0,1,0,0,0,0,0,4,107,8,58,195,214,152
FCREPO-396,214,"2009-01-28 00:00:00",Bug,0,1,0,0,Major,0,0,1,0,1,0,0,1,0.48,1,25,85,9,98,163,279,292
FCREPO-399,0,"2009-02-01 00:00:00",Story,0,0,20,9,Major,0,0,2,0,0,0,0,0,0.46153846153846156,0,0,96,10,95,189,285,393
FCREPO-400,0,"2009-02-02 00:00:00",Story,0,0,19,11,Major,2,1,1,1,0,0,0,0,0.48148148148148145,0,16,79,4,73,164,164,238
FCREPO-404,0,"2009-02-03 00:00:00",Story,32,0,17,6,Blocker,2,1,1,1,0,0,0,0,0.4909090909090909,1,94,0,8,95,191,289,304
FCREPO-402,0,"2009-02-03 00:00:00",Story,28,0,6,2,Blocker,0,0,1,0,1,0,1,0,0.4909090909090909,0,28,66,8,98,189,249,328
FCREPO-447,197,"2009-02-04 00:00:00",Story,18,1,19,12,Minor,0,0,1,0,0,0,0,0,0,0,18,85,9,97,143,221,152
FCREPO-409,0,"2009-02-04 00:00:00",Bug,0,0,50,2,Minor,2,0,1,0,0,0,0,1,0,0,13,80,8,82,147,64,391
FCREPO-408,209,"2009-02-04 00:00:00",Bug,0,1,19,12,Minor,0,0,1,0,0,0,0,9,0,0,2,101,9,56,33,287,81
FCREPO-407,0,"2009-02-04 00:00:00",Bug,1,0,19,12,Minor,2,0,1,1,0,0,0,1,0,0,2,91,4,82,155,273,373
FCREPO-406,0,"2009-02-04 00:00:00",Story,0,0,50,2,Major,1,0,1,0,3,1,0,0,0.43548387096774194,0,16,77,9,56,200,240,218
FCREPO-412,0,"2009-02-14 00:00:00",Story,0,0,6,3,Minor,1,0,1,0,1,0,0,0,0.42857142857142855,0,2,81,8,61,133,299,375
FCREPO-416,0,"2009-02-19 00:00:00",Story,0,0,22,10,Minor,0,0,1,0,0,0,0,0,0,0,0,78,1,95,200,65,340
FCREPO-420,0,"2009-02-21 00:00:00",Bug,1,0,21,11,Major,0,0,1,0,1,0,0,1,0.4090909090909091,0,1,75,9,48,183,282,308
FCREPO-419,0,"2009-02-21 00:00:00",Story,1,0,21,11,Trivial,0,0,1,0,0,0,0,0,0.4090909090909091,0,1,75,4,96,56,117,346
FCREPO-418,0,"2009-02-21 00:00:00",Story,1,0,21,11,Minor,0,0,1,0,0,0,0,0,0.4090909090909091,0,1,75,5,70,142,192,112
FCREPO-452,0,"2009-02-22 00:00:00",Story,0,0,33,3,Minor,4,0,1,0,8,2,0,0,0.43478260869565216,0,758,504,10,96,134,169,300
FCREPO-451,214,"2009-02-22 00:00:00",Story,0,1,17,7,Critical,0,0,1,0,2,0,0,0,0.43478260869565216,0,0,85,5,88,178,175,392
FCREPO-458,0,"2009-03-01 00:00:00",Bug,0,0,20,8,Minor,1,0,1,0,0,0,0,2,0.4246575342465753,0,0,68,10,44,191,268,272
FCREPO-460,0,"2009-03-02 00:00:00",Bug,0,0,19,7,Trivial,0,0,1,0,0,0,0,2,0.43243243243243246,0,0,67,7,80,24,253,377
FCREPO-459,0,"2009-03-02 00:00:00",Bug,0,0,19,7,Minor,0,0,1,0,0,0,0,1,0.43243243243243246,2,0,67,10,29,35,125,7
FCREPO-463,0,"2009-03-03 00:00:00",Story,0,0,6,4,Minor,1,0,1,0,1,1,0,0,0.7666666666666667,0,56,10,8,61,198,299,234
FCREPO-464,0,"2009-03-04 00:00:00",Story,414,0,100,0,Minor,0,0,1,0,0,0,0,0,0,0,414,540,7,56,186,267,398
FCREPO-465,0,"2009-03-09 00:00:00",Story,0,0,18,7,Major,1,0,1,0,0,0,0,0,0.4473684210526316,0,0,0,9,88,157,297,354
DS-93,7,"2009-03-15 00:00:00",Improvement,0,0,0,0,Major,0,0,1,0,1,0,0,1,0,0,0,1,1,28,164,192,296
DS-100,5,"2009-03-17 00:00:00",Improvement,0,0,100,1,Major,0,0,1,0,1,0,0,1,0.5,0,0,1,1,95,189,169,159
FCREPO-466,0,"2009-03-17 00:00:00",Bug,0,0,18,7,Minor,2,0,1,0,0,0,0,2,0,0,0,52,6,91,193,127,193
DS-127,0,"2009-03-26 00:00:00",Improvement,0,0,0,0,Minor,1,0,1,0,0,0,0,1,0,0,0,1,7,48,198,284,387
FCREPO-469,0,"2009-04-03 00:00:00",Story,0,0,0,1,Minor,1,0,1,1,0,0,0,0,0,2,11,24,6,91,107,128,354
FCREPO-471,0,"2009-04-06 00:00:00",Story,0,0,18,7,Minor,1,0,1,1,1,0,0,0,0,0,0,511,9,42,181,243,147
DS-155,0,"2009-04-06 00:00:00",Bug,0,0,100,0,Major,1,0,1,0,0,0,0,3,0.6666666666666666,0,0,0,8,56,98,7,400
