idissuelink,issuekey,linkedIssueKey,name
235,CSHARP-1347,CSHARP-1337,is duplicated by
236,CSHARP-138,CSHARP-1051,depends on
237,CSHARP-138,CSHARP-914,related to
238,CSHARP-138,CSHARP-544,is related to
239,CSHARP-470,CSHARP-985,is related to
240,CSHARP-474,CSHARP-691,is depended on by
241,CSHARP-474,CSHARP-506,duplicates
242,CSHARP-474,CSHARP-534,related to
243,CSHARP-474,CSHARP-155,related to
244,CSHARP-474,CSHARP-153,related to
245,CSHARP-474,CSHARP-393,related to
246,CSHARP-474,CSHARP-473,related to
247,CSHARP-474,CSHARP-463,related to
248,CSHARP-474,CSHARP-689,is related to
249,CSHARP-501,CSHARP-490,related to
250,CSHARP-509,CSHARP-1287,related to
251,CSHARP-509,CSHARP-555,related to
252,CSHARP-509,CSHARP-557,related to
253,CSHARP-539,CSHARP-933,related to
254,CSHARP-555,CSHARP-1287,related to
255,CSHARP-555,CSHARP-509,is related to
256,CSHARP-556,CSHARP-912,is duplicated by
257,CSHARP-558,CSHARP-563,related to
258,CSHARP-558,CSHARP-560,is related to
259,CSHARP-560,CSHARP-558,related to
260,CSHARP-560,CSHARP-563,related to
261,CSHARP-573,SERVER-2360,has to be done after
262,CSHARP-573,CSHARP-1331,is related to
263,CSHARP-573,SERVER-6977,is related to
264,CSHARP-601,CSHARP-652,is depended on by
265,CSHARP-601,CSHARP-994,is depended on by
266,CSHARP-601,CSHARP-792,is depended on by
267,CSHARP-601,CSHARP-456,is depended on by
268,CSHARP-601,CSHARP-592,duplicates
269,CSHARP-601,CSHARP-903,is duplicated by
270,CSHARP-601,CSHARP-860,related to
271,CSHARP-625,CSHARP-716,is depended on by
272,CSHARP-652,CSHARP-601,depends on
273,CSHARP-663,CSHARP-664,is depended on by
274,CSHARP-663,CSHARP-975,duplicates
275,CSHARP-664,CSHARP-663,depends on
276,CSHARP-686,CSHARP-203,is related to
277,CSHARP-691,CSHARP-474,depends on
278,CSHARP-691,CSHARP-902,is duplicated by
279,CSHARP-692,CSHARP-673,is related to
280,CSHARP-716,CSHARP-625,depends on
281,CSHARP-722,CSHARP-724,related to
282,CSHARP-726,DRIVERS-83,is depended on by
283,CSHARP-726,CSHARP-942,is related to
284,CSHARP-858,CSHARP-851,is related to
285,CSHARP-863,CSHARP-932,is related to
286,CSHARP-875,CSHARP-1013,depends on
287,CSHARP-875,CSHARP-1037,depends on
288,CSHARP-875,CSHARP-936,is related to
289,CSHARP-912,CSHARP-556,duplicates
290,CSHARP-912,CSHARP-456,is related to
291,CSHARP-932,CSHARP-863,related to
292,CSHARP-933,CSHARP-539,is related to
293,CSHARP-936,CSHARP-875,related to
294,CSHARP-938,CSHARP-876,is duplicated by
295,CSHARP-938,CSHARP-906,is duplicated by
296,CSHARP-938,CSHARP-907,is duplicated by
297,CSHARP-938,CSHARP-887,is duplicated by
298,CSHARP-938,CSHARP-1166,related to
299,CSHARP-938,CSHARP-1032,related to
300,CSHARP-950,DRIVERS-147,is depended on by
301,CSHARP-975,CSHARP-663,is duplicated by
302,CSHARP-985,CSHARP-470,related to
303,CSHARP-987,DRIVERS-151,is depended on by
304,CSHARP-990,SERVER-7596,depends on
305,CSHARP-990,DRIVERS-166,is depended on by
306,CSHARP-994,CSHARP-601,depends on
307,CSHARP-995,DRIVERS-167,is depended on by
308,CSHARP-995,CSHARP-1069,is duplicated by
309,CSHARP-995,CSHARP-999,related to
310,CSHARP-999,CSHARP-995,is related to
311,CXX-477,CDRIVER-496,depends on
312,CXX-477,CXX-583,depends on
313,DOCS-120,DOCS-274,is duplicated by
314,DOCS-1290,SERVER-9081,related to
315,DOCS-1418,DOCS-1420,depends on
316,DOCS-1418,DOCS-1607,related to
317,DOCS-1560,DOCS-4173,related to
318,DOCS-1560,SERVER-9812,is related to
319,DOCS-1560,DOCS-856,is related to
320,DOCS-1582,DOCS-4894,related to
321,DOCS-1891,DOCS-4739,depends on
322,DOCS-1960,SERVER-10750,is depended on by
323,DOCS-1960,DOCS-1965,related to
324,DOCS-2131,DOCS-4864,is depended on by
325,DOCS-2131,SERVER-17418,related to
326,DOCS-2131,SERVER-7953,related to
327,DOCS-2131,SERVER-17522,is related to
328,DOCS-2131,DOCS-5330,is related to
329,DOCS-2156,SERVER-10964,related to
330,DOCS-2315,DOCS-2597,is duplicated by
331,DOCS-2330,DOCS-2477,is duplicated by
332,DOCS-2330,DOCS-2687,is duplicated by
333,DOCS-2330,DOCS-4011,related to
334,DOCS-2902,DOCS-5008,is duplicated by
335,DOCS-2902,DOCS-3407,is duplicated by
336,DOCS-2902,DOCS-5095,related to
337,DOCS-305,DOCS-620,is duplicated by
338,DOCS-305,DOCS-774,is duplicated by
339,DOCS-305,DOCS-261,related to
340,DOCS-3093,DOCS-2571,related to
341,DOCS-3199,DOCS-4646,is related to
342,DOCS-3280,DOCS-3287,is duplicated by
343,DOCS-3280,DOCS-3366,is duplicated by
344,DOCS-3305,DOCS-4841,is duplicated by
345,DOCS-3341,DOCS-5503,related to
346,DOCS-3438,DOCS-3487,is duplicated by
347,DOCS-3572,DOCS-4538,is duplicated by
348,DOCS-3659,DOCS-2917,is duplicated by
349,DOCS-3659,DOCS-3719,is duplicated by
350,DOCS-3700,DOCS-3790,is related to
351,DOCS-3733,SERVER-12310,is testing
352,DOCS-3796,DOCS-4055,is duplicated by
353,DOCS-3873,MMS-1683,is related to
354,DOCS-3887,DOCS-5574,has to be done before
355,DOCS-3887,DOCS-5268,related to
356,DOCS-3952,DOCS-5622,related to
357,DOCS-3952,SERVER-18941,is related to
358,DOCS-3952,DOCS-5665,is related to
359,DOCS-4021,DOCS-4053,related to
360,DOCS-4056,SERVER-7596,is related to
361,DOCS-4067,DOCS-5793,related to
362,DOCS-4145,DOCS-4857,related to
363,DOCS-4179,DOCS-4357,is duplicated by
364,DOCS-4237,DOCS-4747,is duplicated by
365,DOCS-4279,DOCS-5550,is related to
366,DOCS-4289,DOCS-1782,is duplicated by
367,DOCS-4289,DOCS-3897,is duplicated by
368,DOCS-4289,DOCS-4605,is related to
369,DOCS-4319,SERVER-15179,related to
370,DOCS-432,SERVER-6305,is related to
371,DOCS-4334,SERVER-4905,related to
372,DOCS-442,DOCS-2119,related to
373,DOCS-4428,SERVER-16270,depends on
374,DOCS-4428,SERVER-13008,is related to
375,DOCS-4479,DOCS-4864,is depended on by
376,DOCS-4485,DOCS-4834,related to
377,DOCS-4485,DOCS-3790,is related to
378,DOCS-4516,DOCS-4680,duplicates
379,DOCS-4516,DOCS-4680,related to
380,DOCS-4516,DOCS-4514,is related to
381,DOCS-4569,SERVER-16614,is related to
382,DOCS-4569,SERVER-14603,is related to
383,DOCS-4591,TOOLS-573,documents
384,DOCS-4591,TOOLS-378,documents
385,DOCS-4604,SERVER-14707,documents
386,DOCS-4605,DOCS-4289,related to
387,DOCS-461,DOCS-421,related to
388,DOCS-461,DOCS-640,is related to
389,DOCS-461,SERVER-7686,is related to
390,DOCS-4612,DOCS-4794,is duplicated by
391,DOCS-4612,DOCS-4699,is duplicated by
392,DOCS-4612,DOCS-4350,is related to
393,DOCS-4612,DOCS-3533,is related to
394,DOCS-4618,DOCS-4632,related to
395,DOCS-4621,SERVER-16744,documents
396,DOCS-4621,DOCS-4778,related to
397,DOCS-4632,DOCS-4618,is related to
398,DOCS-4639,SERVER-14992,documents
399,DOCS-4646,DOCS-3199,related to
400,DOCS-4646,DOCS-4826,is related to
401,DOCS-4662,SERVER-16819,related to
402,DOCS-4666,SERVER-15614,documents
403,DOCS-4676,SERVER-16797,documents
404,DOCS-4677,SERVER-16782,documents
405,DOCS-4677,DOCS-4675,is duplicated by
406,DOCS-4678,TOOLS-563,documents
407,DOCS-4679,SERVER-16243,documents
408,DOCS-4680,DOCS-4516,is duplicated by
409,DOCS-4680,DOCS-5073,is duplicated by
410,DOCS-4680,DOCS-4516,is related to
411,DOCS-4719,DOCS-4740,is duplicated by
412,DOCS-4739,DOCS-1891,is depended on by
413,DOCS-4739,DOCS-1215,is duplicated by
414,DOCS-4758,DOCS-4004,is related to
415,DOCS-4772,DOCS-4773,is related to
416,DOCS-4772,DOCS-4812,is related to
417,DOCS-4773,DOCS-4772,related to
418,DOCS-4773,DOCS-4812,is related to
419,DOCS-4774,SERVER-16893,documents
420,DOCS-4775,TOOLS-498,documents
421,DOCS-4777,DOCS-4713,related to
422,DOCS-4778,DOCS-4745,is related to
423,DOCS-4778,SERVER-16744,is related to
424,DOCS-4778,DOCS-4621,is related to
425,DOCS-4787,DOCS-4819,is related to
426,DOCS-4806,DOCS-5454,related to
427,DOCS-4808,DOCS-4809,is depended on by
428,DOCS-4808,TOOLS-596,documents
429,DOCS-4809,DOCS-4808,depends on
430,DOCS-4809,TOOLS-395,documents
431,DOCS-4809,TOOLS-597,documents
432,DOCS-4809,DOCS-5175,is duplicated by
433,DOCS-481,DOCS-820,is depended on by
434,DOCS-4812,DOCS-4772,related to
435,DOCS-4812,DOCS-4773,related to
436,DOCS-4819,DOCS-4787,related to
437,DOCS-4834,DOCS-3790,is duplicated by
438,DOCS-4834,DOCS-3790,is related to
439,DOCS-4834,DOCS-4485,is related to
440,DOCS-4837,TOOLS-178,documents
441,DOCS-4843,SERVER-17315,documents
442,DOCS-4854,DOCS-5062,is duplicated by
443,DOCS-4854,DOCS-4895,is duplicated by
444,DOCS-4857,DOCS-4145,is related to
445,DOCS-4864,DOCS-2131,depends on
446,DOCS-4864,DOCS-4479,depends on
447,DOCS-4864,DOCS-3790,is duplicated by
448,DOCS-4878,DOCS-4954,is duplicated by
449,DOCS-4879,DOCS-4948,is related to
450,DOCS-4884,DOCS-5167,related to
451,DOCS-4884,SERVER-17399,related to
452,DOCS-4891,DOCS-4876,is duplicated by
453,DOCS-4897,DOCS-5209,is related to
454,DOCS-4899,SERVER-17453,is duplicated by
455,DOCS-4899,PHP-1409,related to
456,DOCS-4922,SERVER-9620,is related to
457,DOCS-4927,DOCS-4928,related to
458,DOCS-4927,SERVER-17493,related to
459,DOCS-4937,DOCS-3205,is related to
460,DOCS-4939,DOCS-3773,is related to
461,DOCS-4946,DOCS-4973,is related to
462,DOCS-4948,DOCS-4879,related to
463,DOCS-4951,DOCS-5352,depends on
464,DOCS-4968,SERVER-17650,is duplicated by
465,DOCS-4968,DOCS-5489,related to
466,DOCS-4971,DOCS-5059,is duplicated by
467,DOCS-4973,DOCS-4946,related to
468,DOCS-4982,DOCS-5251,related to
469,DOCS-4985,DOCS-4859,related to
470,DOCS-4989,MMS-2329,is related to
471,DOCS-4992,DOCS-4886,is related to
472,DOCS-4992,DOCS-4890,is related to
473,DOCS-4995,DOCS-3465,related to
474,DOCS-5002,DOCS-5001,is related to
475,DOCS-5004,DOCS-5174,is duplicated by
476,DOCS-5012,SERVER-17599,is related to
477,DOCS-5012,SERVER-14710,is related to
478,DOCS-5019,MMS-2325,documents
479,DOCS-5026,DOCS-5196,is related to
480,DOCS-5027,SERVER-8188,is related to
481,DOCS-5038,SERVER-12128,related to
482,DOCS-5046,DOCS-5319,is duplicated by
483,DOCS-5067,DOCS-5184,duplicates
484,DOCS-5067,DOCS-4936,is related to
485,DOCS-5067,SERVER-17950,is related to
486,DOCS-5095,DOCS-2902,is related to
487,DOCS-5096,DOCS-5137,is duplicated by
488,DOCS-5103,DOCS-5104,is related to
489,DOCS-5117,SERVER-17757,related to
490,DOCS-5120,TOOLS-682,is related to
491,DOCS-5120,TOOLS-504,is related to
492,DOCS-5131,DOCS-5006,is duplicated by
493,DOCS-5132,TOOLS-504,documents
494,DOCS-5137,DOCS-5096,duplicates
495,DOCS-5156,DOCS-5161,is related to
496,DOCS-5157,SERVER-16516,related to
497,DOCS-5161,DOCS-5156,related to
498,DOCS-5167,DOCS-4884,is related to
499,DOCS-5177,SERVER-17892,documents
500,DOCS-5182,DOCS-5503,is related to
501,DOCS-5196,DOCS-5026,related to
502,DOCS-5199,DOCS-5208,is related to
503,DOCS-5200,DOCS-5208,is related to
504,DOCS-5203,SERVER-18000,related to
505,DOCS-5203,DOCS-4999,is related to
506,DOCS-5203,SERVER-13022,is related to
507,DOCS-5205,DOCS-5208,is related to
508,DOCS-5208,DOCS-5199,related to
509,DOCS-5208,DOCS-5200,related to
510,DOCS-5208,DOCS-5205,related to
511,DOCS-5222,DOCS-5261,related to
512,DOCS-5223,DOCS-5251,duplicates
513,DOCS-5223,DOCS-5261,related to
514,DOCS-5226,DOCS-5539,related to
515,DOCS-5238,DOCS-5473,is related to
516,DOCS-5246,SERVER-1507,is related to
517,DOCS-5251,DOCS-5223,is duplicated by
518,DOCS-5251,DOCS-4982,is related to
519,DOCS-5260,SERVER-17252,documents
520,DOCS-5261,DOCS-5222,is related to
521,DOCS-5261,DOCS-5223,is related to
522,DOCS-5268,SERVER-13479,related to
523,DOCS-5268,DOCS-3887,is related to
524,DOCS-5269,SERVER-17977,related to
525,DOCS-5280,DOCS-5443,is duplicated by
526,DOCS-5291,DOCS-5308,depends on
527,DOCS-5292,DOCS-5415,depends on
528,DOCS-5300,DOCS-5337,related to
529,DOCS-5300,DOCS-5360,related to
530,DOCS-5305,DOCS-5437,is duplicated by
531,DOCS-5307,DOCS-5250,related to
532,DOCS-5308,DOCS-5291,is depended on by
533,DOCS-5319,DOCS-5046,duplicates
534,DOCS-5326,SERVER-17975,is related to
535,DOCS-5330,DOCS-5108,is duplicated by
536,DOCS-5330,DOCS-5813,is duplicated by
537,DOCS-5330,DOCS-5922,is duplicated by
538,DOCS-5330,DOCS-5573,is duplicated by
539,DOCS-5330,DOCS-5487,related to
540,DOCS-5330,DOCS-5430,related to
541,DOCS-5330,DOCS-2131,related to
542,DOCS-5330,SERVER-17522,related to
543,DOCS-5330,DOCS-5573,related to
544,DOCS-5330,SERVER-18113,is related to
545,DOCS-5330,DOCS-5979,is related to
546,DOCS-5330,SERVER-17418,is related to
547,DOCS-5332,DOCS-5351,is duplicated by
548,DOCS-5336,DOCS-5565,related to
549,DOCS-5337,DOCS-5300,is related to
550,DOCS-5337,SERVER-18329,is related to
551,DOCS-5352,DOCS-4951,is depended on by
552,DOCS-5356,SERVER-18331,is related to
553,DOCS-5360,DOCS-5405,is duplicated by
554,DOCS-5360,DOCS-5192,related to
555,DOCS-5360,DOCS-5300,is related to
556,DOCS-5369,DOCS-5409,depends on
557,DOCS-5378,DOCS-4713,related to
558,DOCS-5397,MMS-2489,related to
559,DOCS-5407,SERVER-18359,is related to
560,DOCS-5407,SERVER-17812,is related to
561,DOCS-5409,DOCS-5369,is depended on by
562,DOCS-5411,DOCS-3243,related to
563,DOCS-5411,SERVER-8770,is related to
564,DOCS-5413,SERVER-18394,related to
565,DOCS-5415,DOCS-5292,is depended on by
566,DOCS-5420,DOCS-5346,is duplicated by
567,DOCS-5432,SERVER-18313,is related to
568,DOCS-5453,DOCS-5456,is depended on by
569,DOCS-5454,DOCS-4806,is related to
570,DOCS-5456,DOCS-5453,depends on
571,DOCS-5469,SERVER-17589,is related to
572,DOCS-5470,DOCS-5539,is related to
573,DOCS-5473,DOCS-5238,related to
574,DOCS-5482,DOCS-5605,is depended on by
