idissuelink,issuekey,linkedIssueKey,name
221,JBPAPP-314,JBREM-767,is blocked by
222,JBPAPP-314,JBREM-782,is blocked by
223,JBPAPP-314,JBPAPP-252,incorporates
224,JBPAPP-314,JBPAPP-311,incorporates
225,SOA-325,SOA-236,relates to
226,JBIDE-847,JBDS-105,relates to
227,RF-740,RF-699,is related to
228,JBDS-156,JBDS-66,is related to
229,JBDS-163,JBIDE-653,is related to
230,JBDS-182,JBIDE-645,is related to
231,JBDS-129,JBIDE-780,is related to
232,JBDS-124,JBIDE-825,is related to
233,JBDS-121,JBIDE-673,is related to
234,JBDS-132,JBDS-174,is blocked by
235,RF-862,RF-879,relates to
236,RF-879,RF-862,is related to
237,RF-920,RF-3584,is related to
238,JBDS-174,JBDS-132,blocks
239,JBDS-144,JBIDE-793,is related to
240,RF-1008,RF-10025,is duplicated by
241,JBPAPP-349,JBAS-4591,incorporates
242,JBNET-1806,JBNET-1759,relates to
243,RF-1207,RF-2468,is related to
244,RF-1207,RF-2396,is related to
245,RF-1207,RF-2474,is related to
246,RF-1226,RF-2405,relates to
247,RF-1226,RF-2683,is related to
248,RF-1247,RF-1173,is related to
249,JBPM-1079,JBSEAM-2229,blocks
250,ASPATCH-322,JBAS-2677,incorporates
251,JBIDE-1420,TOOLSDOC-19,relates to
252,JBDS-162,JBDS-232,relates to
253,JBDS-162,JBDS-249,relates to
254,JBDS-162,JBIDE-727,is related to
255,JBNATIVE-52,JBNATIVE-54,is blocked by
256,JBNATIVE-54,JBNATIVE-52,blocks
257,JBDS-226,JBDS-5,is related to
258,JBDS-232,JBDS-162,is related to
259,EJBTHREE-1176,JBPAPP-623,relates to
260,JBIDE-1636,JBIDE-788,relates to
261,JBIDE-1636,JBIDE-6217,relates to
262,JBIDE-1636,JBIDE-351,relates to
263,JBIDE-1636,JBIDE-1498,relates to
264,RF-1943,RF-1896,is blocked by
265,RF-1943,RF-1917,is duplicated by
266,RF-1943,RF-1604,is related to
267,RF-2001,RF-1981,is related to
268,RF-2004,RF-1942,is related to
269,RF-2005,RF-1900,is related to
270,JBIDE-1694,JBIDE-1092,is blocked by
271,RF-2087,RF-2066,is related to
272,RF-2088,RF-2051,is related to
273,RF-2098,RF-2089,is related to
274,RF-2100,RF-2095,is related to
275,RF-2123,RF-2305,relates to
276,RF-2124,RF-2033,is related to
277,JBIDE-1737,JBDS-262,relates to
278,RF-2170,RF-5516,blocks
279,JBDS-252,JBIDE-1747,is blocked by
280,JBDS-252,JBIDE-1968,is blocked by
281,RF-2204,RF-2044,is related to
282,RF-2205,RF-1071,is related to
283,RF-2239,RF-4532,blocks
284,RF-2239,RF-5261,is duplicated by
285,RF-2239,RF-2238,is related to
286,ESB-102,ESB-427,relates to
287,ESB-102,ESB-274,is related to
288,JBPM-1137,JBPM-1146,relates to
289,RF-2305,RF-2123,is related to
290,RF-2305,RF-413,is related to
291,RF-2305,RF-3740,is related to
292,RF-2305,RF-3825,is related to
293,RF-2305,RF-4232,is related to
294,RF-2305,RF-2613,is related to
295,RF-2371,RF-2370,is related to
296,JBPM-1146,JBPM-1137,is related to
297,JBWS-2027,JBWS-2029,is blocked by
298,JBWS-2029,JBWS-2027,blocks
299,JBDS-261,JBIDE-727,is blocked by
300,JBDS-267,JBIDE-4771,is related to
301,JBDS-267,JBIDE-4877,is related to
302,JBDS-272,JBIDE-1322,relates to
303,JBDS-272,JBIDE-1186,is related to
304,JBDS-272,JBIDE-1690,is related to
305,JBWS-2051,JBWS-2143,relates to
306,JBDS-278,JBIDE-1678,is related to
307,JBDS-278,JBDS-262,is related to
308,JBWS-2067,JBWS-2057,relates to
309,JBDS-281,JBIDE-611,is related to
310,RF-2673,RF-3568,is incorporated by
311,RF-2799,RF-3401,is related to
312,RF-2799,RF-2773,is related to
313,JBWS-2098,JBWS-2017,blocks
314,JBWS-2098,JBWS-2097,blocks
315,JBWS-2098,JBWS-2139,blocks
316,JBWS-2098,JBWS-2197,relates to
317,JBWS-2107,JBAS-5055,relates to
318,JBDS-311,JBIDE-1703,relates to
319,RF-3100,RF-1653,is related to
320,ESB-202,ESB-104,relates to
321,ESB-203,ESB-103,duplicates
322,ESB-203,ESB-487,is related to
323,ESB-204,ESB-487,is related to
324,RF-3189,RF-3875,is incorporated by
325,RF-3208,RF-1653,is related to
326,RF-3242,RF-5737,relates to
327,RF-3284,RF-4079,is duplicated by
328,RF-3326,RF-3187,is related to
329,RFPL-1061,RF-3096,is related to
330,RF-3361,RF-3250,is related to
331,DESIGN-14,DESIGN-2,relates to
332,JBDS-336,RF-3875,is incorporated by
333,RF-3518,RF-3550,is blocked by
334,RF-3550,RF-3518,blocks
335,RF-3561,RF-3210,is related to
336,RF-3568,RF-2673,incorporates
337,RF-3586,RF-4069,relates to
338,RF-3591,RF-2923,is related to
339,JBPAPP-862,JBPAPP-1004,is duplicated by
340,JBPAPP-862,EJBTHREE-1118,is related to
341,JBPAPP-862,EJBTHREE-1511,is related to
342,ESB-265,MB-386,relates to
343,ESB-267,ESB-1051,is duplicated by
344,RF-3677,RF-3631,is related to
345,JBDS-354,JBIDE-2006,is related to
346,RF-3690,RF-3689,duplicates
347,RF-3690,RF-3138,is related to
348,JBDS-359,JBIDE-1770,is related to
349,JBDS-359,JBIDE-518,is related to
350,JBDS-363,JBIDE-1670,is related to
351,TOOLSDOC-19,JBIDE-1420,is related to
352,RF-3760,RF-4131,relates to
353,RF-3819,RF-2288,is related to
354,RF-3860,RF-1922,is related to
355,RF-3861,RF-5643,relates to
356,JBDS-374,JBIDE-2452,is related to
357,RF-3875,JBDS-336,incorporates
358,RF-3875,RF-3189,incorporates
359,JBPAPP-977,JBMESSAGING-1048,is blocked by
360,JBPAPP-977,JBPAPP-983,blocks
361,JBPAPP-977,JBPAPP-910,blocks
362,JBDS-375,JBIDE-2530,is related to
363,JBDS-375,JBIDE-2499,is related to
364,JBDS-383,JBIDE-2010,is related to
365,JBDS-383,JBIDE-4179,is related to
366,JBDS-385,JBIDE-2093,is related to
367,JBDS-385,JBIDE-2554,is related to
368,JBDS-386,JBIDE-4187,is related to
369,JBDS-386,JBIDE-3665,is related to
370,JBDS-386,JBIDE-2022,is related to
371,JBDS-387,JBIDE-2589,is blocked by
372,JBDS-387,JBDS-553,blocks
373,JBDS-387,JBDS-603,blocks
374,JBDS-387,JBIDE-2254,is related to
375,JBDS-387,JBIDE-2021,is related to
376,JBDS-387,JBIDE-1189,is related to
377,JBDS-387,JBIDE-3035,is related to
378,JBDS-387,JBIDE-3167,is related to
379,ESB-359,SF-121,relates to
380,JBDS-388,JBIDE-2299,is related to
381,JBDS-389,JBIDE-1919,is related to
382,RF-4102,RF-4330,is duplicated by
383,RF-4102,RF-4219,relates to
384,RF-4131,RF-3760,is related to
385,RF-4164,RF-5201,is duplicated by
386,RF-4164,RF-3796,is incorporated by
387,RF-4152,RF-4063,is related to
388,RF-4152,RF-4043,is related to
389,JBDS-398,JBIDE-3295,is related to
