boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
361,601,RF5 Alpha1 Sprint 4,-2,14,2,2,0,0,0,0,1,1,0,0,1,1,1,1
361,611,RF 4.3.2 Sprint 2,0,25,2,2,2,2,0,0,0,0,0,0,4,4,1,1
361,621,4.3.2 Sprint 1,-1,4,3,3,0,0,0,0,0,0,1,1,2,2,1,2
361,651,5.0.0.Alpha1 Sprint 3,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1
361,721,5.0.0.Alpha1 Sprint Release,-2,1,3,3,0,0,0,0,2,2,0,0,1,1,1,1
361,750,5.0.0.Alpha1 Docs,-1,14,12,12,0,0,0,0,1,1,1,1,10,10,1,2
361,830,RichFaces 4.3.4 Sprint 1,0,16,3,3,0,0,0,0,0,0,0,0,3,3,1,3
361,1011,5.0.0.Alpha2 - Sprint 2,1,7,0,0,1,1,0,0,1,1,0,0,0,0,1,1
361,1021,5.0.0.Alpha2 - Sprint 3,-3,7,3,3,0,0,0,0,3,3,0,0,0,0,1,2
361,1501,5.0.0.Alpha2 - Sprint 8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
361,1511,5.0.0.Alpha3 - Sprint 1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1
361,1940,4.5.0.Alpha3 - Sprint 2,1,14,1,1,0,0,0,0,1,1,0,0,0,0,1,1
361,1970,4.3.7 Sprint 1,0,15,1,1,0,0,0,0,0,0,0,0,1,1,1,1
361,2260,4.5.0.Beta1 - Bug Fix Sprint,0,3,1,1,0,0,0,0,1,1,0,0,0,0,1,1
361,2330,4.5.0.Beta1 - Upgrade Sprint,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1
361,2340,4.5.0.Beta1 - Final Sprint,0,18,5,5,0,0,1,1,4,4,0,0,0,0,1,2
361,2420,4.5.0.Beta2 - Sprint 3,0,7,2,2,0,0,2,2,0,0,0,0,0,0,1,1
361,2430,4.5.0.CR1 - Sprint 1,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1
361,2440,4.5.0.CR1 - Sprint 2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1
361,2460,4.5.0.CR2 - Sprint 1,0,15,3,3,0,0,0,0,3,3,0,0,0,0,1,3
450,31,Sprint 1 - Critical Issues,23,43,3,111,0,0,0,0,2,61,1,50,0,0,1,1
450,291,Low-hanging Fruit,0,15,9,9,5,7,0,0,1,1,1,2,12,13,1,1
450,351,Final Sprint,3,10,5,15,1,1,0,0,2,9,0,0,4,7,1,2
450,531,Critical Issues,-80,36,11,82,0,0,0,0,9,80,0,0,2,2,1,3
450,571,Warp Alpha3,10,4,6,28,1,1,3,25,1,1,1,1,2,2,1,2
450,800,Warp Beta1,-75,35,13,111,0,0,5,36,5,58,3,17,0,0,1,3
450,920,Warp Alpha4,-1,3,2,2,0,0,0,0,1,1,0,0,1,1,1,1
490,970,Sprint 77,-24,14,36,72,2,4,0,0,16,32,5,10,17,34,1,5
490,1051,Sprint 78,-20,7,12,24,0,0,2,4,8,16,2,4,0,0,1,4
490,1081,Sprint 79,-18,7,9,18,0,0,0,0,7,14,2,4,0,0,1,4
